player_id,player_name,team_id,team_abbrev,seconds_enhanced
203076,Anthony Davis,1610612742,DAL,1856.2
1629655,Daniel Gafford,1610612742,DAL,1548.6
203957,Dante Exum,1610612742,DAL,1694.0
1630556,Kessler Edwards,1610612742,DAL,37.2
202691,Klay Thompson,1610612742,DAL,1207.0
202681,Kyrie Irving,1610612742,DAL,2496.6
1631108,Max Christie,1610612742,DAL,1853.0
1630230,Naji Marshall,1610612742,DAL,2215.0
1641765,Olivier-Maxence Prosper,1610612742,DAL,37.2
1629023,P.J. Washington,1610612742,DAL,1450.0
203915,Spencer Dinwiddie,1610612742,DAL,1432.2
1628988,Aaron Holiday,1610612745,HOU,203.3
1630578,Alperen Sengun,1610612745,HOU,2499.0
1641708,Amen Thompson,1610612745,HOU,2106.0
1641715,Cam Whitmore,1610612745,HOU,1186.0
1628415,Dillon Brooks,1610612745,HOU,2445.7
1630256,Jae'Sean Tate,1610612745,HOU,306.0
1630224,Jalen Green,1610612745,HOU,2880.0
1642263,Reed Sheppard,1610612745,HOU,374.0
203500,Steven Adams,1610612745,HOU,1816.2
1631106,Tari Eason,1610612745,HOU,2196.8
